"0600000","北海道","札幌市　中央区","以下に掲載がない場合","HOKKAIDO","SAPPORO SHI CHUO KU","IKANIKEISAIGANAIBAAI"
"0640941","北海道","札幌市　中央区","旭ケ丘","HOKKAIDO","SAPPORO SHI CHUO KU","ASAHIGAOKA"
"0600041","北海道","札幌市　中央区","大通東","HOKKAIDO","SAPPORO SHI CHUO KU","ODORIHIGASHI"
"0861834","北海道","目梨郡　羅臼町","礼文町","HOKKAIDO","MENASHI GUN RAUSU CHO","REBUNCHO"
"0380000","青森県","青森市","以下に掲載がない場合","AOMORI KEN","AOMORI SHI","IKANIKEISAIGANAIBAAI"
"0300846","青森県","青森市","青葉","AOMORI KEN","AOMORI SHI","AOBA"
"9601813","福島県","相馬郡　飯舘村","八木沢","FUKUSHIMA KEN","SOMA GUN IITATE MURA","YAGISAWA"
"9601724","福島県","相馬郡　飯舘村","蕨平","FUKUSHIMA KEN","SOMA GUN IITATE MURA","WARABIDAIRA"
"3100000","茨城県","水戸市","以下に掲載がない場合","IBARAKI KEN","MITO SHI","IKANIKEISAIGANAIBAAI"
"3100004","茨城県","水戸市","青柳町","IBARAKI KEN","MITO SHI","AOYAGICHO"
"3190314","茨城県","水戸市","赤尾関町","IBARAKI KEN","MITO SHI","AKAOSEKICHO"
"3114141","茨城県","水戸市","赤塚","IBARAKI KEN","MITO SHI","AKATSUKA"
"2991906","千葉県","安房郡　鋸南町","横根","CHIBA KEN","AWA GUN KYONAN MACHI","YOKONE"
"2991908","千葉県","安房郡　鋸南町","吉浜","CHIBA KEN","AWA GUN KYONAN MACHI","YOSHIHAMA"
"2992118","千葉県","安房郡　鋸南町","竜島","CHIBA KEN","AWA GUN KYONAN MACHI","RYUSHIMA"
"1000000","東京都","千代田区","以下に掲載がない場合","TOKYO TO","CHIYODA KU","IKANIKEISAIGANAIBAAI"
"1020072","東京都","千代田区","飯田橋","TOKYO TO","CHIYODA KU","IIDABASHI"
"1000004","東京都","千代田区","大手町　（次のビルを除く）","TOKYO TO","CHIYODA KU","OTEMACHI (TSUGINOBIRUONOZOKU)"
"1006890","東京都","千代田区","大手町　ＪＡビル（地階・階層不明）","TOKYO TO","CHIYODA KU","OTEMACHI JIEIEIBIRU(CHIKAI.KAISOFUM"
"2430100","神奈川県","愛甲郡　清川村","以下に掲載がない場合","KANAGAWA KEN","AIKO GUN KIYOKAWA MURA","IKANIKEISAIGANAIBAAI"
"2570061","神奈川県","愛甲郡　清川村","煤ヶ谷（丹沢山札掛）","KANAGAWA KEN","AIKO GUN KIYOKAWA MURA","SUSUGAYA(TANZAWAYAMAFUDAKAKE)"
"2430112","神奈川県","愛甲郡　清川村","煤ヶ谷（その他）","KANAGAWA KEN","AIKO GUN KIYOKAWA MURA","SUSUGAYA(SONOTA)"
"2430111","神奈川県","愛甲郡　清川村","宮ヶ瀬","KANAGAWA KEN","AIKO GUN KIYOKAWA MURA","MIYAGASE"
"9500000","新潟県","新潟市　北区","以下に掲載がない場合","NIIGATA KEN","NIIGATA SHI KITA KU","IKANIKEISAIGANAIBAAI"
"9503315","新潟県","新潟市　北区","朝日町","NIIGATA KEN","NIIGATA SHI KITA KU","ASAHIMACHI"
"9503377","新潟県","新潟市　北区","彩野","NIIGATA KEN","NIIGATA SHI KITA KU","AYANO"
"9503327","新潟県","新潟市　北区","石動","NIIGATA KEN","NIIGATA SHI KITA KU","ISURUGI"
"9071544","沖縄県","八重山郡　竹富町","鳩間","OKINAWA KEN","YAEYAMA GUN TAKETOMI CHO","HATOMA"
"9071800","沖縄県","八重山郡　与那国町","以下に掲載がない場合","OKINAWA KEN","YAEYAMA GUN YONAGUNI CHO","IKANIKEISAIGANAIBAAI"
"9071801","沖縄県","八重山郡　与那国町","与那国","OKINAWA KEN","YAEYAMA GUN YONAGUNI CHO","YONAGUNI"
